Login,Open Time,Type,Symbol,Volume
564387,2023.07.06 16:59:51,sell,xauusd,0.120565503
901204,2023.07.06 17:01:51,sell,xauusd,0.110441708
901204,2023.07.06 17:02:32,sell,xauusd,0.110441708
704924,2023.07.06 17:22:48,sell,xauusd,0.198099597
734585,2023.07.06 17:25:35,sell,xauusd,0.173714597
671156,2023.07.06 17:33:11,sell,xauusd,0.119671753
704924,2023.07.06 17:38:03,sell,xauusd,0.198099597
457730,2023.07.06 17:56:34,sell,xauusd,1.118443778
342002,2023.07.06 18:49:57,sell,xauusd,0.099156251
511920,2023.07.06 21:09:53,sell,xauusd,0.110370777
617111,2023.07.07 07:40:34,sell,xauusd,1.236976154
716335,2023.07.07 07:40:34,sell,xauusd,1.045804284
690193,2023.07.07 08:14:05,sell,xauusd,1.173860754
933278,2023.07.07 02:38:17,sell,xauusd,0.105119322
704924,2023.07.07 03:39:11,sell,xauusd,0.198099597
992439,2023.07.07 03:50:57,sell,xauusd,0.103816248
734585,2023.07.07 05:04:53,sell,xauusd,0.173714597
704924,2023.07.07 05:13:46,sell,xauusd,0.198099597
328794,2023.07.07 07:55:12,sell,xauusd,0.08966498
564387,2023.07.07 08:26:38,sell,xauusd,0.120565503
919849,2023.07.07 08:50:09,sell,xauusd,0.075289492
196182,2023.07.07 09:37:16,sell,xauusd,0.431422731
379985,2023.07.07 09:41:07,sell,xauusd,0.117190067
122204,2023.07.07 12:40:55,sell,xauusd,1.079406705
475071,2023.07.07 12:49:40,sell,xauusd,0.112940807
379985,2023.07.07 13:07:08,sell,xauusd,0.117190067
379985,2023.07.07 13:11:46,sell,xauusd,0.117190067
919849,2023.07.07 13:39:45,sell,xauusd,0.075289492
206036,2023.07.11 08:40:07,sell,xauusd,0.083761017
498467,2023.07.10 08:18:25,sell,xauusd,0.123978347
305017,2023.07.11 08:09:14,sell,xauusd,0.11995565
129379,2023.07.10 14:54:01,sell,xauusd,0.121173143
901204,2023.07.10 14:54:14,sell,xauusd,0.220883416
901204,2023.07.10 15:00:26,sell,xauusd,0.110441708
704924,2023.07.10 15:07:23,sell,xauusd,0.198099597
704924,2023.07.10 15:14:31,sell,xauusd,0.198099597
129379,2023.07.10 15:16:38,sell,xauusd,0.121173143
461103,2023.07.10 15:18:33,sell,xauusd,0.11911435
323715,2023.07.10 15:23:25,sell,xauusd,0.080328317
901204,2023.07.10 15:31:17,sell,xauusd,0.110441708
379985,2023.07.10 15:34:03,sell,xauusd,0.117190067
671156,2023.07.10 15:35:18,sell,xauusd,0.119671753
233748,2023.07.10 15:46:11,sell,xauusd,0.080456085
771477,2023.07.10 15:47:28,sell,xauusd,1.082270461
342002,2023.07.10 15:47:29,sell,xauusd,0.099156251
961207,2023.07.10 15:48:00,sell,xauusd,1.073893469
919849,2023.07.10 15:52:23,sell,xauusd,0.075289492
921468,2023.07.10 16:07:30,sell,xauusd,0.080510225
539154,2023.07.10 16:22:47,sell,xauusd,1.126064698
614628,2023.07.10 16:29:38,sell,xauusd,1.001703937
332363,2023.07.10 16:30:01,sell,xauusd,1.077361583
291276,2023.07.10 16:59:32,sell,xauusd,0.223343487
342002,2023.07.10 18:22:07,sell,xauusd,0.099156251
498467,2023.07.11 03:02:06,sell,xauusd,0.123978347
743684,2023.07.11 06:06:50,sell,xauusd,0.092321383
539922,2023.07.11 06:32:24,sell,xauusd,0.09362225
593593,2023.07.11 06:43:16,sell,xauusd,0.119850238
342920,2023.07.11 07:25:34,sell,xauusd,0.106260229
571690,2023.07.11 08:00:10,sell,xauusd,0.116610975
342920,2023.07.11 12:17:07,sell,xauusd,0.106260229
809100,2023.07.12 08:36:52,buy,xauusd,0.095689474
147515,2023.07.12 14:42:33,sell,xauusd,0.152037306
181717,2023.07.12 14:42:41,sell,xauusd,0.2076755
809100,2023.07.13 08:52:17,buy,xauusd,0.095689474
485172,2023.07.13 15:12:20,buy,xauusd,2.002552134
107693,2023.07.17 12:12:23,sell,xauusd,0.524003673
465628,2023.07.17 15:40:14,buy,xauusd,0.086715004
297928,2023.05.10 14:57:29,buy,xauusd,0.167400494
217765,2023.07.11 17:04:25,sell,xauusd,0.115745986
107693,2023.07.18 15:38:11,sell,xauusd,0.524003673
809100,2023.07.18 16:10:32,buy,xauusd,0.095689474
809100,2023.07.18 16:28:21,buy,xauusd,0.095689474
342002,2023.07.18 16:29:32,buy,xauusd,0.099156251
730901,2023.07.18 16:44:17,buy,xauusd,0.096646835
323715,2023.07.20 03:30:32,buy,xauusd,0.080328317
384575,2023.07.19 08:42:21,buy,xauusd,0.101503958
809100,2023.07.19 13:24:32,buy,xauusd,0.095689474
379985,2023.07.19 12:44:56,buy,xauusd,0.117190067
593593,2023.07.20 03:36:57,buy,xauusd,0.119850238
267078,2023.07.20 14:30:11,buy,xauusd,0.102646523
539922,2023.07.20 03:30:46,buy,xauusd,0.09362225
475071,2023.07.20 04:02:31,buy,xauusd,0.112940807
129379,2023.07.20 05:30:05,buy,xauusd,0.121173143
158438,2023.07.20 05:42:03,buy,xauusd,0.08199168
